iter	Passed	Remaining
911	3213222	310047
912	3216989	306547
913	3220809	303052
914	3223799	299478
915	3226587	295887
916	3230191	292372
917	3233944	288870
918	3236701	285280
919	3240112	281748
920	3244396	278292
921	3247657	274747
922	3250444	271163
923	3253347	267591
924	3257122	264090
925	3260169	260531
926	3263083	256963
927	3266046	253400
928	3269377	249866
929	3272269	246299
930	3275357	242749
931	3278487	239202
932	3282339	235709
933	3285377	232157
934	3288246	228594
935	3291556	225063
936	3294456	221505
937	3298486	218023
938	3301398	214467
939	3305181	210969
940	3308744	207455
941	3312838	203975
942	3315917	200431
943	3319349	196910
944	3322198	193355
945	3325605	189833
946	3328451	186280
947	3332737	182808
948	3335675	179261
949	3339117	175743
950	3342420	172217
951	3345576	168684
952	3349018	165166
953	3351819	161618
954	3354647	158072
955	3357480	154528
956	3361201	151025
957	3364551	147506
958	3368024	143992
959	3371536	140480
960	3374474	136945
961	3377366	133409
962	3380782	129895
963	3384421	126389
964	3388431	122896
965	3391232	119360
966	3394286	115833
967	3398233	112338
968	3402006	108836
969	3405133	105313
970	3408476	101797
971	3412051	98289
972	3415229	94769
973	3419169	91271
974	3422014	87743
975	3424810	84216
976	3427696	80692
977	3430814	77175
978	3435220	73687
979	3439218	70188
980	3442377	66671
981	3446452	63173
982	3450006	59664
983	3453284	56150
984	3456341	52634
985	3460454	49134
986	3463347	45616
987	3466159	42099
988	3469304	38586
989	3472597	35076
990	3475908	31567
991	3479206	28058
992	3482288	24547
993	3485236	21037
994	3488680	17531
995	3491948	14023
996	3494906	10516
997	3497847	7009
998	3501197	3504
999	3504833	0
